account_id,account_age_days,kyc_status,account_type,is_mule,in_txn_count,unique_senders,total_in_amount,avg_in_amount,in_amount_std,unique_in_modes,out_txn_count,unique_receivers,total_out_amount,avg_out_amount,out_amount_std,unique_out_modes,pass_through_ratio,balance_depletion,active_days,txn_velocity_per_day,mode_entropy,pagerank,hub_score,authority_score
ACC0F180A6207,2088,0,0,False,2.0,2.0,3260.3700000000003,1630.1850000000002,1392.781155835331,2.0,8.0,8.0,12448.460000000001,1556.0575000000001,1063.228476867239,2.0,3.8181126564834273,1.0,169.82078703703704,0.05888560625866757,4.0,3.3411685079530426e-06,3.821979157339668e-07,3.784166970007195e-06
ACCD48602E1A3,944,0,0,False,15.0,15.0,28908.359999999997,1927.2239999999997,2519.6807763847496,3.0,5.0,4.0,18493.29,3698.6580000000004,2952.3370585300727,2.0,0.6397211738612218,0.6397211738612218,162.48215277777777,0.12309044198444018,5.0,7.670421525082347e-06,1.4874737700511975e-05,2.5521754281696776e-05
ACCD019EF104D,2375,1,1,False,4.0,4.0,8428.3,2107.075,2280.5794862636703,3.0,10.0,10.0,16608.45,1660.845,1714.7776185671682,3.0,1.9705575240907927,1.0,162.22586805555557,0.08629943034242595,6.0,3.5561814147242916e-06,4.698659692081161e-06,7.740526120404062e-06
ACC303EAC4D01,2432,1,0,False,2.0,2.0,4272.15,2136.075,2088.8853555066157,2.0,6.0,6.0,4607.0,767.8333333333334,556.8247121551509,4.0,1.0783797360149348,1.0,104.18946759259259,0.07678319301219622,6.0,3.7956457536408422e-06,1.5551418880637147e-05,1.9528279738146842e-06
ACC5346C319AB,1206,1,0,False,27.0,27.0,35799.06,1325.891111111111,978.4136951496594,4.0,10.0,10.0,23439.989999999998,2343.999,1443.2821096795703,3.0,0.6547655160066309,0.6547655160066309,166.4795138888889,0.22224956774377894,7.0,3.521468842684376e-05,2.6725820888384045e-06,5.059321440037064e-05
ACC2CE7E877F6,2836,1,0,False,2.0,2.0,1945.1399999999999,972.5699999999999,402.951870326966,2.0,12.0,11.0,33733.76,2811.146666666667,2743.353705277649,4.0,17.342587076803795,1.0,163.93302083333333,0.08540073213335986,6.0,3.513701875690914e-06,2.103155654953865e-05,7.62783402162453e-07
ACC7205071E66,1454,0,2,False,2.0,2.0,14956.75,7478.375,9638.975585219107,1.0,6.0,6.0,8522.26,1420.3766666666668,806.1640415366259,3.0,0.5697935710834282,0.5697935710834282,179.39153935185186,0.044595191216399,4.0,3.324306380749688e-06,1.9814249339880126e-06,7.554095006369608e-09
ACC4A0548B68E,2133,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,11872.54,1696.077142857143,1371.4429845326454,2.0,1187254000.0,1.0,92.35498842592592,0.07579449815658205,2.0,2.237050970064386e-06,1.532922596048952e-05,-0.0
ACC81DC392E85,2233,1,0,False,2.0,2.0,4536.81,2268.405,1224.2351834717053,1.0,11.0,11.0,25346.16,2304.1963636363635,2152.3746155038752,3.0,5.586780126153001,1.0,169.8581712962963,0.07653443988469139,4.0,3.910187079864011e-06,3.0430887685039595e-05,5.409058614768563e-06
ACC22D19174C0,2913,1,0,False,6.0,6.0,24935.75,4155.958333333333,5868.683212726401,3.0,15.0,14.0,19145.77,1276.3846666666666,1259.6042536326734,4.0,0.7678040561170993,0.7678040561170993,168.68961805555554,0.12448898896127648,7.0,6.183554231635577e-06,1.6538692677839593e-05,8.981435147915338e-06
ACC37C4055C7E,1540,1,0,False,1.0,1.0,4928.84,4928.84,0.0,1.0,3.0,3.0,3499.84,1166.6133333333335,864.0120455950445,2.0,0.7100737684524681,0.7100737684524681,127.58399305555555,0.03135189536087202,3.0,3.1555634694750875e-06,2.8578326065526795e-07,3.182733487159355e-09
ACC310299B2BE,2429,1,1,False,1.0,1.0,331.26,331.26,0.0,1.0,8.0,8.0,12489.35,1561.16875,2416.998942221162,4.0,37.70255878456322,1.0,136.87741898148147,0.06575226262278978,5.0,2.679811285995575e-06,5.168092056957944e-06,2.0379465345833415e-06
ACCF61053BC5D,2488,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5723.6,953.9333333333334,1007.8354862906281,3.0,572360000.0,1.0,64.6198611111111,0.0928507102434537,3.0,2.237050970064386e-06,1.7156844402340764e-05,-0.0
ACC82355AA165,1750,1,2,False,2.0,2.0,1210.03,605.015,758.4073781616315,1.0,5.0,5.0,5799.54,1159.908,1069.5110945053352,1.0,4.792889392883735,1.0,166.0012962962963,0.04216834540560259,2.0,3.529737228603418e-06,1.900966251124438e-07,3.7041221371520195e-06
ACCD640396C84,133,1,1,False,5.0,5.0,23857.06,4771.412,8451.797007652869,1.0,5.0,5.0,19585.38,3917.076,6917.928096686897,3.0,0.8209469227050832,0.8209469227050832,148.09116898148147,0.06752597112154933,4.0,5.782775765074604e-06,1.5325327708883606e-05,7.850167179136312e-06
ACC252FD7BC9A,2916,1,0,False,3.0,3.0,8555.36,2851.786666666667,1754.7004018445236,2.0,8.0,8.0,8345.72,1043.215,797.5425441585278,2.0,0.9754960621464249,0.9754960621464249,113.24454861111111,0.09713491850079857,4.0,4.590526294099764e-06,1.6547028482377653e-05,7.444445957975044e-06
ACC0FA51F39ED,1788,1,0,False,24.0,24.0,78622.35,3275.93125,5367.353343449405,3.0,5.0,5.0,8225.08,1645.016,1898.3425190886917,3.0,0.10461503629634383,0.10461503629634383,174.64400462962962,0.16605207869288596,6.0,2.0075539120987724e-05,2.4493019188391517e-06,3.1171748107756194e-05
ACCFAC388C6A8,529,1,0,False,3.0,3.0,2084.05,694.6833333333334,293.8757697281853,3.0,10.0,10.0,19835.59,1983.559,2250.831637444505,3.0,9.51780902800888,1.0,153.60425925925927,0.0846330698295162,6.0,3.0667060536890114e-06,3.0196612620864072e-05,1.0387708681375647e-05
ACC3211EF681D,2264,1,0,False,1.0,1.0,9214.67,9214.67,0.0,1.0,10.0,8.0,19634.74,1963.4740000000002,1864.8020670849883,2.0,2.1308131467205955,1.0,165.65380787037037,0.06640354448482022,3.0,2.4742194721666964e-06,3.0574635088766904e-05,3.906074320618349e-06
